NAME,TYPE,LOCATION,DATE_START,DATE_END,NEIGHBOURHOOD,LOCATION-SIZE
Celebration of Light,culture,English Bay Beach,20170729,20170729,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20170802,20170802,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20170805,20170805,Kitsilano,neighbourhood
Cherry Blossom Festival,culture,,20170330,20170423,,city
Dine Out Vancouver Festival,culture,,20170120,20170205,,city
HSBC Canada Sevens,sport,777 Pacific Blvd,20170311,20170312,Central Business District,address
International Jazz Festival,music,750 Hornby St,20170624,20170625,Central Business District,address
PuSh International Performing Arts Festival,culture,,20170116,20170205,,city
TED Conference,culture,1055 Canada Place,20170424,20170428,Central Business District,address
Vancouver Craft Beer Week,culture,2901 E Hastings,20170603,20170604,Central Business District,address
Vancouver Folk Music Festival,music,JERICHO BEACH PARK,20170713,20170716,West Point Grey,address
Vancouver International Film Festival,culture,1181 Seymour St.,20170927,20171012,Central Business District,address
Vancouver International Wine Festival,culture,1055 Canada Place,20170212,20170220,Central Business District,address
Vancouver Pride Festival,culture,,20170806,20170806,West End,neighbourhood
BMO Vancouver Marathon,sport,,20180506,20180506,,city
Celebration of Light,culture,English Bay Beach,20180728,20180728,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20180801,20180801,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20180804,20180804,Kitsilano,neighbourhood
Cherry Blossom Festival,culture,,20180403,20180429,,city
Dine Out Vancouver Festival,culture,,20180119,20180204,,city
HSBC Canada Sevens,sport,777 Pacific Blvd,20180310,20180311,Central Business District,address
International Jazz Festival,music,1300 Pacific Blvd,20180730,20180731,Central Business District,address
International Jazz Festival,music,750 Hornby St,20180623,20180624,Central Business District,address
PuSh International Performing Arts Festival,culture,,20180116,20180204,,city
TED Conference,culture,1055 Canada Place,20180410,20180414,Central Business District,address
Vancouver Craft Beer Week,culture,2901 E Hastings,20180602,20180603,Central Business District,address
Vancouver Folk Music Festival,music,JERICHO BEACH PARK,20180713,20180715,West Point Grey,address
Vancouver International Film Festival,culture,1181 Seymour St.,20180927,20181012,Central Business District,address
Vancouver International Wine Festival,culture,1055 Canada Place,20180224,20180304,Central Business District,address
Vancouver Pride Festival,culture,,20180805,20180805,West End,neighbourhood
BMO Vancouver Marathon,sport,,20190505,20190505,,city
Celebration of Light,culture,English Bay Beach,20190627,20190627,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20190731,20190731,Kitsilano,neighbourhood
Celebration of Light,culture,English Bay Beach,20190803,20190803,Kitsilano,neighbourhood
Cherry Blossom Festival,culture,,20190404,20190428,,city
Dine Out Vancouver Festival,culture,,20190118,20190203,,city
HSBC Canada Sevens,sport,777 Pacific Blvd,20190309,20190310,Central Business District,address
International Jazz Festival,music,1300 Pacific Blvd,20190629,20190630,Central Business District,address
International Jazz Festival,music,750 Hornby St,20190622,20190623,Central Business District,address
PuSh International Performing Arts Festival,culture,,20190117,20190203,,city
TED Conference,culture,1055 Canada Place,20190415,20190419,Central Business District,address
Vancouver Craft Beer Week,culture,2901 E Hastings,20190608,20190609,Central Business District,address
Vancouver Folk Music Festival,music,JERICHO BEACH PARK,20190719,20190721,West Point Grey,address
Vancouver International Film Festival,culture,1181 Seymour St.,20190926,20191011,Central Business District,address
Vancouver International Wine Festival,culture,1055 Canada Place,20190223,20190303,Central Business District,address
Vancouver Pride Festival,culture,,20190804,20190804,West End,neighbourhood
